UF;Tipo Crime;Ano;Mês;Ocorrências
AC;Estupro;2022;janeiro;31
AC;Furto de veículo;2022;janeiro;50
AC;Homicídio doloso;2022;janeiro;10
AC;Lesão corporal seguida de morte;2022;janeiro;1
AC;Roubo a instituição financeira;2022;janeiro;0
AC;Roubo de carga;2022;janeiro;0
AC;Roubo de veículo;2022;janeiro;72
AC;Roubo seguido de morte (latrocínio);2022;janeiro;0
AC;Tentativa de homicídio;2022;janeiro;22
AC;Estupro;2022;fevereiro;34
AC;Furto de veículo;2022;fevereiro;55
AC;Homicídio doloso;2022;fevereiro;10
AC;Lesão corporal seguida de morte;2022;fevereiro;0
AC;Roubo a instituição financeira;2022;fevereiro;0
AC;Roubo de carga;2022;fevereiro;0
AC;Roubo de veículo;2022;fevereiro;48
AC;Roubo seguido de morte (latrocínio);2022;fevereiro;2
AC;Tentativa de homicídio;2022;fevereiro;18
AC;Estupro;2022;março;57
AC;Furto de veículo;2022;março;44
AC;Homicídio doloso;2022;março;21
AC;Lesão corporal seguida de morte;2022;março;0
AC;Roubo a instituição financeira;2022;março;0
AC;Roubo de carga;2022;março;0
AC;Roubo de veículo;2022;março;68
AC;Roubo seguido de morte (latrocínio);2022;março;0
AC;Tentativa de homicídio;2022;março;37
AC;Estupro;2022;abril;28
AC;Furto de veículo;2022;abril;40
AC;Homicídio doloso;2022;abril;21
AC;Roubo de veículo;2022;abril;52
AC;Tentativa de homicídio;2022;abril;27
AC;Estupro;2022;maio;45
AC;Furto de veículo;2022;maio;29
AC;Homicídio doloso;2022;maio;23
AC;Roubo de veículo;2022;maio;61
AC;Tentativa de homicídio;2022;maio;31
AC;Estupro;2022;junho;45
AC;Furto de veículo;2022;junho;50
AC;Homicídio doloso;2022;junho;12
AC;Roubo de veículo;2022;junho;50
AC;Roubo seguido de morte (latrocínio);2022;junho;1
AC;Tentativa de homicídio;2022;junho;22
AC;Estupro;2022;julho;62
AC;Furto de veículo;2022;julho;44
AC;Homicídio doloso;2022;julho;20
AC;Roubo de veículo;2022;julho;49
AC;Tentativa de homicídio;2022;julho;39
AC;Estupro;2022;agosto;47
AC;Furto de veículo;2022;agosto;34
AC;Homicídio doloso;2022;agosto;9
AC;Roubo de veículo;2022;agosto;47
AC;Roubo seguido de morte (latrocínio);2022;agosto;1
AC;Tentativa de homicídio;2022;agosto;32
AC;Estupro;2022;setembro;59
AC;Furto de veículo;2022;setembro;33
AC;Homicídio doloso;2022;setembro;16
AC;Roubo de veículo;2022;setembro;57
AC;Roubo seguido de morte (latrocínio);2022;setembro;1
AC;Tentativa de homicídio;2022;setembro;26
AC;Estupro;2022;outubro;49
AC;Furto de veículo;2022;outubro;41
AC;Homicídio doloso;2022;outubro;14
AC;Roubo de veículo;2022;outubro;52
AC;Tentativa de homicídio;2022;outubro;41
AC;Estupro;2022;novembro;53
AC;Furto de veículo;2022;novembro;41
AC;Homicídio doloso;2022;novembro;29
AC;Lesão corporal seguida de morte;2022;novembro;2
AC;Roubo de veículo;2022;novembro;61
AC;Roubo seguido de morte (latrocínio);2022;novembro;1
AC;Tentativa de homicídio;2022;novembro;30
AC;Estupro;2022;dezembro;58
AC;Furto de veículo;2022;dezembro;52
AC;Homicídio doloso;2022;dezembro;22
AC;Lesão corporal seguida de morte;2022;dezembro;1
AC;Roubo de veículo;2022;dezembro;43
AC;Tentativa de homicídio;2022;dezembro;31
AL;Estupro;2022;janeiro;57
AL;Furto de veículo;2022;janeiro;160
AL;Homicídio doloso;2022;janeiro;102
AL;Lesão corporal seguida de morte;2022;janeiro;0
AL;Roubo a instituição financeira;2022;janeiro;0
AL;Roubo de carga;2022;janeiro;1
AL;Roubo de veículo;2022;janeiro;130
AL;Roubo seguido de morte (latrocínio);2022;janeiro;1
AL;Tentativa de homicídio;2022;janeiro;47
AL;Estupro;2022;fevereiro;45
AL;Furto de veículo;2022;fevereiro;144
AL;Homicídio doloso;2022;fevereiro;85
AL;Lesão corporal seguida de morte;2022;fevereiro;0
AL;Roubo a instituição financeira;2022;fevereiro;0
AL;Roubo de carga;2022;fevereiro;0
AL;Roubo de veículo;2022;fevereiro;138
AL;Roubo seguido de morte (latrocínio);2022;fevereiro;2
AL;Tentativa de homicídio;2022;fevereiro;55
AL;Estupro;2022;março;81
AL;Furto de veículo;2022;março;162
AL;Homicídio doloso;2022;março;95
AL;Lesão corporal seguida de morte;2022;março;1
AL;Roubo a instituição financeira;2022;março;0
AL;Roubo de carga;2022;março;0
AL;Roubo de veículo;2022;março;132
AL;Roubo seguido de morte (latrocínio);2022;março;2
AL;Tentativa de homicídio;2022;março;46
AL;Estupro;2022;abril;73
AL;Furto de veículo;2022;abril;135
AL;Homicídio doloso;2022;abril;107
AL;Roubo de carga;2022;abril;1
AL;Roubo de veículo;2022;abril;114
AL;Roubo seguido de morte (latrocínio);2022;abril;4
AL;Tentativa de homicídio;2022;abril;45
AL;Estupro;2022;maio;17
AL;Furto de veículo;2022;maio;142
AL;Homicídio doloso;2022;maio;77
AL;Lesão corporal seguida de morte;2022;maio;1
AL;Roubo de veículo;2022;maio;143
AL;Roubo seguido de morte (latrocínio);2022;maio;2
AL;Tentativa de homicídio;2022;maio;45
AL;Estupro;2022;junho;54
AL;Furto de veículo;2022;junho;183
AL;Homicídio doloso;2022;junho;86
AL;Roubo de carga;2022;junho;2
AL;Roubo de veículo;2022;junho;136
AL;Roubo seguido de morte (latrocínio);2022;junho;1
AL;Tentativa de homicídio;2022;junho;41
AL;Estupro;2022;julho;74
AL;Furto de veículo;2022;julho;184
AL;Homicídio doloso;2022;julho;92
AL;Lesão corporal seguida de morte;2022;julho;0
AL;Roubo a instituição financeira;2022;julho;0
AL;Roubo de carga;2022;julho;5
AL;Roubo de veículo;2022;julho;150
AL;Roubo seguido de morte (latrocínio);2022;julho;3
AL;Tentativa de homicídio;2022;julho;67
AL;Estupro;2022;agosto;73
AL;Furto de veículo;2022;agosto;158
AL;Homicídio doloso;2022;agosto;63
AL;Lesão corporal seguida de morte;2022;agosto;2
AL;Roubo a instituição financeira;2022;agosto;0
AL;Roubo de carga;2022;agosto;0
AL;Roubo de veículo;2022;agosto;133
AL;Roubo seguido de morte (latrocínio);2022;agosto;2
AL;Tentativa de homicídio;2022;agosto;68
AL;Estupro;2022;setembro;79
AL;Furto de veículo;2022;setembro;176
AL;Homicídio doloso;2022;setembro;90
AL;Roubo de carga;2022;setembro;3
AL;Roubo de veículo;2022;setembro;134
AL;Roubo seguido de morte (latrocínio);2022;setembro;1
AL;Tentativa de homicídio;2022;setembro;49
AL;Estupro;2022;outubro;73
AL;Furto de veículo;2022;outubro;192
AL;Homicídio doloso;2022;outubro;95
AL;Roubo de carga;2022;outubro;3
AL;Roubo de veículo;2022;outubro;158
AL;Roubo seguido de morte (latrocínio);2022;outubro;2
AL;Tentativa de homicídio;2022;outubro;57
AL;Estupro;2022;novembro;4
AL;Furto de veículo;2022;novembro;155
AL;Homicídio doloso;2022;novembro;83
AL;Roubo de carga;2022;novembro;3
AL;Roubo de veículo;2022;novembro;145
AL;Tentativa de homicídio;2022;novembro;79
AL;Estupro;2022;dezembro;57
AL;Furto de veículo;2022;dezembro;231
AL;Homicídio doloso;2022;dezembro;103
AL;Roubo de carga;2022;dezembro;2
AL;Roubo de veículo;2022;dezembro;183
AL;Tentativa de homicídio;2022;dezembro;67
AP;Estupro;2022;janeiro;7
AP;Furto de veículo;2022;janeiro;30
AP;Homicídio doloso;2022;janeiro;16
AP;Lesão corporal seguida de morte;2022;janeiro;0
AP;Roubo a instituição financeira;2022;janeiro;0
AP;Roubo de carga;2022;janeiro;0
AP;Roubo de veículo;2022;janeiro;39
AP;Roubo seguido de morte (latrocínio);2022;janeiro;5
AP;Tentativa de homicídio;2022;janeiro;18
AP;Estupro;2022;fevereiro;13
AP;Furto de veículo;2022;fevereiro;120
AP;Homicídio doloso;2022;fevereiro;20
AP;Lesão corporal seguida de morte;2022;fevereiro;0
AP;Roubo a instituição financeira;2022;fevereiro;0
AP;Roubo de carga;2022;fevereiro;0
AP;Roubo de veículo;2022;fevereiro;25
AP;Roubo seguido de morte (latrocínio);2022;fevereiro;2
