UF;Tipo Crime;Ano;Mês;Sexo da Vítima;Vítimas
AC;Homicídio doloso;2022;janeiro;Feminino;2
AC;Homicídio doloso;2022;janeiro;Masculino;8
AC;Homicídio doloso;2022;janeiro;Sexo NI;0
AC;Homicídio doloso;2022;fevereiro;Feminino;0
AC;Homicídio doloso;2022;fevereiro;Masculino;10
AC;Homicídio doloso;2022;fevereiro;Sexo NI;0
AC;Homicídio doloso;2022;março;Feminino;2
AC;Homicídio doloso;2022;março;Masculino;19
AC;Homicídio doloso;2022;março;Sexo NI;0
AC;Homicídio doloso;2022;abril;Feminino;2
AC;Homicídio doloso;2022;abril;Masculino;19
AC;Homicídio doloso;2022;maio;Feminino;6
AC;Homicídio doloso;2022;maio;Masculino;17
AC;Homicídio doloso;2022;junho;Feminino;3
AC;Homicídio doloso;2022;junho;Masculino;9
AC;Homicídio doloso;2022;julho;Feminino;2
AC;Homicídio doloso;2022;julho;Masculino;18
AC;Homicídio doloso;2022;agosto;Masculino;9
AC;Homicídio doloso;2022;setembro;Feminino;1
AC;Homicídio doloso;2022;setembro;Masculino;15
AC;Homicídio doloso;2022;outubro;Feminino;1
AC;Homicídio doloso;2022;outubro;Masculino;13
AC;Homicídio doloso;2022;novembro;Feminino;3
AC;Homicídio doloso;2022;novembro;Masculino;26
AC;Homicídio doloso;2022;dezembro;Feminino;1
AC;Homicídio doloso;2022;dezembro;Masculino;21
AC;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
AC;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
AC;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
AC;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
AC;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
AC;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
AC;Lesão corporal seguida de morte;2022;março;Feminino;0
AC;Lesão corporal seguida de morte;2022;março;Masculino;0
AC;Lesão corporal seguida de morte;2022;março;Sexo NI;0
AC;Lesão corporal seguida de morte;2022;novembro;Masculino;2
AC;Lesão corporal seguida de morte;2022;dezembro;Masculino;1
AC;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
AC;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;0
AC;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
AC;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
AC;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;1
AC;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
AC;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
AC;Roubo seguido de morte (latrocínio);2022;março;Masculino;0
AC;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
AC;Roubo seguido de morte (latrocínio);2022;junho;Masculino;1
AC;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
AC;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;1
AC;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;1
AL;Homicídio doloso;2022;janeiro;Feminino;11
AL;Homicídio doloso;2022;janeiro;Masculino;91
AL;Homicídio doloso;2022;janeiro;Sexo NI;0
AL;Homicídio doloso;2022;fevereiro;Feminino;0
AL;Homicídio doloso;2022;fevereiro;Masculino;85
AL;Homicídio doloso;2022;fevereiro;Sexo NI;0
AL;Homicídio doloso;2022;março;Feminino;8
AL;Homicídio doloso;2022;março;Masculino;87
AL;Homicídio doloso;2022;março;Sexo NI;0
AL;Homicídio doloso;2022;abril;Feminino;4
AL;Homicídio doloso;2022;abril;Masculino;103
AL;Homicídio doloso;2022;abril;Sexo NI;10
AL;Homicídio doloso;2022;maio;Feminino;3
AL;Homicídio doloso;2022;maio;Masculino;87
AL;Homicídio doloso;2022;junho;Feminino;6
AL;Homicídio doloso;2022;junho;Masculino;80
AL;Homicídio doloso;2022;julho;Feminino;9
AL;Homicídio doloso;2022;julho;Masculino;83
AL;Homicídio doloso;2022;julho;Sexo NI;0
AL;Homicídio doloso;2022;agosto;Feminino;1
AL;Homicídio doloso;2022;agosto;Masculino;63
AL;Homicídio doloso;2022;agosto;Sexo NI;0
AL;Homicídio doloso;2022;setembro;Feminino;2
AL;Homicídio doloso;2022;setembro;Masculino;94
AL;Homicídio doloso;2022;outubro;Feminino;10
AL;Homicídio doloso;2022;outubro;Masculino;92
AL;Homicídio doloso;2022;novembro;Feminino;6
AL;Homicídio doloso;2022;novembro;Masculino;81
AL;Homicídio doloso;2022;dezembro;Feminino;11
AL;Homicídio doloso;2022;dezembro;Masculino;95
AL;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
AL;Lesão corporal seguida de morte;2022;janeiro;Masculino;0
AL;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
AL;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
AL;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
AL;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
AL;Lesão corporal seguida de morte;2022;março;Feminino;0
AL;Lesão corporal seguida de morte;2022;março;Masculino;1
AL;Lesão corporal seguida de morte;2022;março;Sexo NI;0
AL;Lesão corporal seguida de morte;2022;maio;Masculino;1
AL;Lesão corporal seguida de morte;2022;julho;Feminino;0
AL;Lesão corporal seguida de morte;2022;julho;Masculino;0
AL;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
AL;Lesão corporal seguida de morte;2022;agosto;Feminino;0
AL;Lesão corporal seguida de morte;2022;agosto;Masculino;2
AL;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
AL;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
AL;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;1
AL;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
AL;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;0
AL;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;2
AL;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
AL;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
AL;Roubo seguido de morte (latrocínio);2022;março;Masculino;2
AL;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
AL;Roubo seguido de morte (latrocínio);2022;abril;Masculino;4
AL;Roubo seguido de morte (latrocínio);2022;maio;Masculino;3
AL;Roubo seguido de morte (latrocínio);2022;junho;Masculino;1
AL;Roubo seguido de morte (latrocínio);2022;julho;Feminino;0
AL;Roubo seguido de morte (latrocínio);2022;julho;Masculino;3
AL;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
